Company,Bluesky Handle,Display Name,Bio
Verizon Communications,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2973', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:41:01 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Walgreens Boots Alliance,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2972', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:41:03 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Target,target.bsky.social,,
AT&T,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Error: actor must be a valid did or a handle'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'content-type': 'application/json; charset=utf-8', 'content-length': '83', 'etag': 'W/""53-G+sPgkZSP/Dzh9Z5hxH92t84Gtk""', 'date': 'Mon, 03 Mar 2025 12:41:08 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Bank of America,bankofamerica.bsky.social,Adam Willems,"reporting in Seattle (Seattle Met, Cascade PBS, Baffler, Wired, etc)"
Meta Platforms,metaplatforms.bsky.social,,
Dell Technologies,delltechnologies.bsky.social,,
IBM,ibm.bsky.social,,
TD Synnex,tdsynnex.bsky.social,,
Citigroup,citigroup.bsky.social,,
Comcast,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2964', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:41:23 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
PepsiCo,pepsico.bsky.social,,
Lowe's,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Error: actor must be a valid did or a handle'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'content-type': 'application/json; charset=utf-8', 'content-length': '83', 'etag': 'W/""53-G+sPgkZSP/Dzh9Z5hxH92t84Gtk""', 'date': 'Mon, 03 Mar 2025 12:41:27 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Procter & Gamble,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Error: actor must be a valid did or a handle'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'content-type': 'application/json; charset=utf-8', 'content-length': '83', 'etag': 'W/""53-G+sPgkZSP/Dzh9Z5hxH92t84Gtk""', 'date': 'Mon, 03 Mar 2025 12:41:29 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Intel,intel.bsky.social,Sergio Caltagirone,"Professor at Georgia Tech. Cyber threat intelligence and cybersecurity professional, counter human trafficking - former NSA, Microsoft, and Dragos. Currently President of the Threat Intelligence Academy. #FSD 🦆 Formerly @cnoanalysis on Twitter"
Johnson & Johnson,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Error: actor must be a valid did or a handle'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'content-type': 'application/json; charset=utf-8', 'content-length': '83', 'etag': 'W/""53-G+sPgkZSP/Dzh9Z5hxH92t84Gtk""', 'date': 'Mon, 03 Mar 2025 12:41:34 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Wells Fargo,wellsfargo.bsky.social,jordan ++🦋🦇,"16, aspiring software engineer (SWE)
c#, python, java, go, lua

ig- nott.jordan
p.s. i’d gladly take an internship 😉"
Pfizer,pfizer.bsky.social,Pfizer Watcher,"Applying the check & balance of journalistic integrity to Pfizer & big pharma with this parody account.
Make America Healthy Again"
Albertsons,albertsons.bsky.social,,
Walt Disney,waltdisney.bsky.social,Sam,"Engineer, father"
Sysco,sysco.bsky.social,Systems and Services Company Fan,"Isaac | 27 | he/him
Obviously satire.
Sysco sucks buy from US Foods Inc. instead"
Humana,humana.bsky.social,,
FedEx,fedex.bsky.social,,
Raytheon Technologies,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2954', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:41:51 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
HP,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2953', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:41:54 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Boeing,boeing.bsky.social,,
Archer Daniels Midland,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2951', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:41:58 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Caterpillar,caterpillar.bsky.social,caterpillar,
Lockheed Martin,lockheedmartin.bsky.social,David Poster Wallace,"Real Rossartrist Globalist 👍🌐
https://twitter.com/freakquella"
Morgan Stanley,morganstanley.bsky.social,,
Dow,dow.bsky.social,Dow,Fiat enthusiast
Tesla,tesla.bsky.social,,
General Electric,generalelectric.bsky.social,Tim Fogarty,I'm not the multi national company but I'll poison your river if you ask nicely
HCA Healthcare,hcahealthcare.bsky.social,,
Goldman Sachs Group,goldmansachsgroup.bsky.social,Goldman Sachs Group,
Energy Transfer,energytransfer.bsky.social,,
Tyson Foods,tysonfoods.bsky.social,,
Cisco Systems,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2940', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:42:22 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Charter Communications,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2939', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:42:24 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
AbbVie,abbvie.bsky.social,abbvie,
Progressive,progressive.bsky.social,progressive,
Allstate,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2936', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:42:31 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Best Buy,bestbuy.bsky.social,breathingcolumn,"“I don’t know, he was just sitting up there”"
Merck,merck.bsky.social,,
TJX,tjx.bsky.social,,
ConocoPhillips,conocophillips.bsky.social,,
Nike,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2931', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:42:42 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Enterprise Products Partners,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2930', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:42:44 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
General Dynamics,generaldynamics.bsky.social,General Dynamics Corporation,"Official account for the General Dynamics Corporation. 
NYSE: GD"
American Express,americanexpress.bsky.social,American Express,"Powerfully backing our customers, colleagues arid communities. Follow for the
latest news from American Express."
Prudential Financial,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2927', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:42:51 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Coca-Cola,coca-cola.bsky.social,,
Bristol-Myers Squibb,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2925', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:42:55 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Deere,deere.bsky.social,Follow DEERE@streamqueens.net,https://bsky.app/profile/streamqueens.net
Thermo Fisher Scientific,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2923', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:43:00 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Honeywell International,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2922', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:43:02 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Kraft Heinz,kraftheinz.bsky.social,The Kraft Heinz Company,Explore your favorite products at https://www.kraftheinz.com ! 
Starbucks,starbucks.bsky.social,Starbucks ,Time for coffee. ☕️
Qualcomm,qualcomm.bsky.social,,📩📩blueskyiletisim1@gmail.com
Abbott Laboratories,abbottlaboratories.bsky.social,,
Micron Technology,microntechnology.bsky.social,,
Jabil,jabil.bsky.social,,
Broadcom,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2915', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:43:17 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Nucor,nucor.bsky.social,Nucor,
Danaher,danaher.bsky.social,Danaher,
United Parcel Service,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2912', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:43:24 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Paramount Global,paramountglobal.bsky.social,Paramount Global ,"Packaging and supply chain solutions since 1976. 
Learn more: paramountglobal.com"
US Bancorp,usbancorp.bsky.social,,
Mondelez International,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2909', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:43:30 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Philip Morris International,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2908', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:43:33 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Lennar,lennar.bsky.social,,
Occidental Petroleum,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2906', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:43:37 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Southern Company,southerncompany.bsky.social,,
NextEra Energy,nexteraenergy.bsky.social,,
Plains GP Holdings,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2903', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:43:44 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Dollar General,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2902', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:43:46 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Delta Air Lines,deltaairlines.bsky.social,Delta Air Lines,
American Airlines Group,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2900', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:43:50 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Marathon Oil,marathonoil.bsky.social,,
Halliburton,halliburton.bsky.social,Halliburton,Halliburton is one of the world's largest providers of products and services for the ever-evolving needs of the energy industry.
Northrop Grumman,northropgrumman.bsky.social,Northrop Grumman,"Bringing the toughest problems in space, aeronautics, defense, cyberspace, and nuclear warfare into the 21st century. Learn more at northropgrumman.com/bsky.satire"
Travelers,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2896', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:43:59 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
